,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta,delta
L3158,2.5058398e-08,7.668859e-09,4.2811735e-08,2.96277e-08,6.1409082e-09,6.2573235e-09,1.0477379e-09,1.5104888e-08,2.3297616e-08,2.2322638e-08,1.2369128e-09,3.1956006e-08,5.1470124e-08,1.3082172e-08,2.8972863e-08,8.28004e-09,1.5905243e-08,2.3108441e-08,1.2529199e-08,2.3836037e-08,3.5230187e-08,6.046321e-08,1.9281288e-08,5.355105e-09,1.2136297e-08,2.4039764e-08,3.083551e-08,1.945591e-08,5.364709e-07,5.58779e-07,1.9877916e-08,2.4403562e-08,8.934876e-09,1.3518729e-08,5.996262e-07,5.7386933e-07,5.2386895e-10,3.0064257e-08,4.818139e-08,1.9426807e-08,1.4697434e-08,1.8451829e-08,3.6656274e-08,4.989415e-07,5.6345016e-07,1.0244548e-08,9.3568815e-09
L3160,6.9558155e-09,2.1536835e-09,1.1903467e-08,8.236384e-09,1.717126e-09,1.7462298e-09,2.910383e-10,4.1909516e-09,6.4756023e-09,6.2282197e-09,3.3469405e-10,8.876668e-09,1.4304533e-08,3.6525307e-09,8.047209e-09,2.3137545e-09,4.4237822e-09,6.4319465e-09,3.4924597e-09,6.6211214e-09,9.778887e-09,1.679291e-08,5.355105e-09,1.4988473e-09,3.3614924e-09,6.693881e-09,8.571078e-09,5.3987605e-09,2.294837e-08,2.9147486e-08,5.5442797e-09,6.7957444e-09,2.4738256e-09,3.768946e-09,4.0308805e-08,3.313471e-08,1.6007107e-10,8.352799e-09,1.337321e-08,5.3987605e-09,4.0745363e-09,5.122274e-09,1.0186341e-08,1.2572855e-08,3.0500814e-08,2.8521754e-09,2.590241e-09
L103,4.762376e-06,3.4284312e-08,5.431357e-07,4.3120235e-07,7.3283445e-08,8.766074e-08,2.5203917e-08,1.1228258e-07,2.3946632e-07,2.841698e-07,9.330688e-08,5.1624374e-07,6.996561e-07,1.5733531e-07,4.1013118e-07,9.912765e-08,2.2508902e-07,3.8096914e-07,2.689776e-07,3.252062e-07,3.8795406e-07,7.79517e-07,2.2089807e-07,8.2643237e-07,7.022172e-07,5.8391015e-06,2.0837178e-06,1.8646824e-06,7.2736293e-07,1.1330703e-06,3.0972296e-07,3.737514e-07,1.2735836e-07,1.1338852e-07,1.6638078e-06,1.3709068e-06,1.7287675e-08,3.2258686e-07,7.005292e-07,3.1042146e-07,1.7212005e-07,2.4482142e-07,4.870235e-07,4.6391506e-07,1.3378449e-06,1.2986129e-07,1.7764978e-07
L1050,9.458745e-11,1.1641532e-10,5.820766e-11,1.891749e-10,2.1827873e-11,2.5465852e-10,2.910383e-10,2.4738256e-10,1.891749e-10,1.5279511e-10,8.731149e-11,4.3655746e-11,8.0035534e-11,2.3283064e-10,1.4551915e-10,1.3096724e-10,5.0931703e-11,1.2369128e-10,8.0035534e-11,2.1827873e-11,1.4551915e-11,2.6921043e-10,2.5465852e-10,1.382432e-10,2.1827873e-11,8.0035534e-11,2.5465852e-10,1.09139364e-10,3.929017e-10,1.8189894e-10,4.3655746e-11,5.820766e-11,1.09139364e-10,2.1827873e-11,1.4551915e-10,1.6734703e-10,1.9645086e-10,2.8376235e-10,3.8562575e-10,2.1827873e-11,4.3655746e-11,4.0745363e-10,5.0931703e-10,2.3283064e-10,9.458745e-11,1.4551915e-10,1.09139364e-10
L1160,2.2468157e-06,2.447283e-06,7.6997094e-07,3.6119018e-06,1.0626391e-06,4.7509093e-06,5.80959e-06,4.833564e-06,3.8379803e-06,2.9220246e-06,2.112938e-06,1.0989606e-06,1.4386605e-06,4.549278e-06,3.2740645e-06,3.2931566e-06,1.0959338e-06,3.0023511e-06,1.9667204e-06,5.941838e-07,1.9697472e-07,4.521804e-06,5.3488184e-06,2.4968758e-06,5.029142e-07,2.1110754e-06,5.1299576e-06,1.9266736e-06,8.3567575e-06,3.9944425e-06,1.1033844e-06,7.8743324e-07,4.3075997e-06,7.5949356e-07,2.690591e-06,3.42587e-06,4.313886e-06,5.907379e-06,8.356292e-06,2.7939677e-08,1.1348166e-06,7.702969e-06,9.917654e-06,4.6668574e-06,1.876615e-06,2.8982759e-06,2.5758054e-06
L1507,0.000108995475,0.00021743681,0.00013191067,6.0930848e-05,2.8958544e-05,0.00025551114,9.168312e-05,3.585778e-05,0.00010944251,0.00016711839,4.647579e-05,9.62764e-05,0.00053935964,0.0001905514,0.0002651522,0.00025241822,5.929079e-05,0.00032107532,0.00038990006,6.3139945e-05,0.0006477507,0.00021091849,0.0001301011,1.7082319e-05,8.5751526e-05,0.00013571978,0.000100123696,5.8596954e-05,6.548967e-05,0.00012749061,6.434042e-05,0.00011345185,0.0002003964,0.0001218915,0.00013494026,8.2673505e-06,3.220979e-05,0.00014365092,0.0003257282,9.6890144e-05,0.00015313178,0.0001078248,0.00026176404,0.00040658377,0.00012534019,0.00016220566,1.9278377e-05
L1624,8.370145e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2892,0.00011072401,0.0002286816,0.0001370553,6.5132044e-05,2.8780662e-05,0.00024432316,8.024182e-05,1.6178936e-05,0.000117608346,0.00017740205,5.4649077e-05,0.00010211114,0.00044615753,0.00019469857,0.00029770378,0.00025149994,1.8156134e-05,0.00027924124,0.00033805054,6.8414025e-05,0.00059169997,0.0001604259,0.00012017414,1.3633631e-05,9.0652145e-05,0.0001331754,9.745825e-05,5.280599e-06,2.7239323e-05,0.000106580555,6.174948e-05,0.000109489076,0.00018393155,0.000121579506,0.00013558473,7.0603564e-06,4.234165e-05,0.00012634788,0.00031583197,8.5047446e-05,0.00015069172,9.596627e-05,0.00025487226,0.00037644617,0.000120128505,0.00016254373,1.9311905e-05
L3006,0.000101884594,2.978812e-05,3.1562988e-05,4.5141438e-05,0.000114845345,1.943577e-05,2.3951987e-05,2.1601329e-05,4.641246e-05,1.043221e-05,6.982591e-07,1.1404045e-06,8.3394116e-05,4.1985884e-05,0.00017636409,0.00013297866,0.000121365534,7.485179e-05,0.0001401233,1.2957025e-05,8.482393e-05,6.6249166e-05,0.00010179612,2.049515e-05,0.0001117303,4.6134694e-05,7.958175e-05,4.812004e-05,0.00031044707,0.00013457169,1.3169134e-05,5.824375e-05,0.00014684466,6.757397e-05,5.8934093e-05,6.667129e-05,8.923514e-05,4.141382e-05,0.00020171353,0.00010909489,9.387778e-05,5.6691002e-05,0.0001162719,0.00017048744,9.193784e-06,2.5627902e-05,6.4158114e-05
L3102,5.562906e-07,7.483177e-07,3.8271537e-07,1.3281824e-06,1.2468081e-07,1.6547274e-06,1.9003055e-06,1.6295235e-06,1.2511737e-06,1.0767253e-06,6.7596557e-07,2.84228e-07,5.78817e-07,1.5870319e-06,9.941868e-07,9.28354e-07,3.296882e-07,8.6054206e-07,5.6100544e-07,1.3766112e-07,1.2584496e-07,1.829525e-06,1.7373823e-06,8.9377863e-07,6.100163e-08,4.239264e-07,1.6890117e-06,7.414492e-07,2.5823247e-06,1.1508237e-06,3.533787e-07,3.9400766e-07,6.8260124e-07,8.8708475e-08,1.0429067e-06,1.1992524e-06,1.4303951e-06,1.9847648e-06,2.665096e-06,7.590279e-08,2.834131e-07,2.6963535e-06,3.4256955e-06,1.5915139e-06,6.647897e-07,9.3877316e-07,7.8516314e-07
L592,8.116476e-07,9.732321e-08,5.5204146e-07,3.7625432e-07,7.636845e-08,8.218922e-08,2.8871e-08,2.165325e-07,3.0803494e-07,2.7846545e-07,4.679896e-08,4.034955e-07,6.509945e-07,1.6274862e-07,3.655441e-07,1.0849908e-07,2.074521e-07,2.977904e-07,1.6577542e-07,3.0943193e-07,4.444737e-07,7.688068e-07,2.3678876e-07,2.507586e-07,1.906883e-07,1.4069956e-06,1.2370292e-06,9.094365e-07,1.1799857e-06,1.1669472e-06,2.6170164e-07,3.1944364e-07,1.15484e-07,1.7764978e-07,1.6761478e-06,1.3359822e-06,1.46683306e-08,3.8626604e-07,6.2049367e-07,2.4656765e-07,1.8929131e-07,2.4284236e-07,4.7683716e-07,3.8929284e-07,1.2230594e-06,1.3201497e-07,8.405186e-08
L951,2.2346503e-06,2.036686e-07,5.1804818e-08,5.5180863e-08,5.098991e-08,1.1641532e-08,1.16357114e-07,1.8626451e-09,2.781744e-07,2.4598558e-07,2.1641608e-07,1.3568206e-07,3.5797711e-07,2.1792948e-07,1.3422687e-07,2.7008355e-08,1.276494e-07,1.231092e-07,8.43429e-08,1.8638093e-07,3.9953738e-07,4.3644104e-07,1.7450657e-07,9.019277e-07,1.4742545e-05,1.3076817e-05,1.4552497e-06,1.1260272e-06,4.443282e-06,3.894791e-06,1.2415694e-07,1.2957025e-07,3.2945536e-08,1.5681144e-07,4.321686e-06,4.11208e-06,2.1362212e-08,1.80793e-07,4.7916546e-07,4.5681372e-07,1.8707942e-07,1.306762e-07,1.9138679e-07,3.52168e-06,3.975758e-06,4.6158675e-08,8.532661e-07
L1371,5.3551048e-08,9.359792e-08,4.5401976e-08,2.8405339e-08,2.863817e-08,1.0896474e-07,2.142042e-08,2.175779e-05,5.96256e-06,7.4179843e-07,3.7858263e-07,1.44355e-07,9.480864e-07,7.8231096e-08,1.4924444e-07,1.5855767e-07,9.476207e-08,1.4365651e-07,6.982591e-07,2.9336661e-08,2.8056093e-07,5.4226257e-07,1.0128133e-07,3.8430095e-05,2.2887252e-07,9.313226e-08,7.7532604e-08,5.820766e-08,5.8230944e-07,2.0489097e-08,3.7252903e-08,1.0174699e-07,1.73226e-07,1.14319846e-07,8.684583e-08,6.472692e-08,3.7252903e-09,1.44355e-08,2.6007183e-07,1.245644e-07,1.0849908e-07,1.2875535e-07,2.1094456e-07,2.940651e-07,5.1688403e-08,8.242205e-08,1.2805685e-08
L1377,6.7055225e-08,1.17812306e-07,5.7043508e-08,3.585592e-08,3.585592e-08,1.3690442e-07,2.6775524e-08,8.819392e-06,2.0019012e-05,6.014714e-06,2.1304004e-07,5.820766e-08,1.2211967e-06,1.0058284e-07,1.9278377e-07,2.0465814e-07,1.2270175e-07,1.8556602e-07,8.996576e-07,3.8184226e-08,3.61586e-07,6.989576e-07,1.3108365e-07,1.0840129e-05,2.9057264e-07,1.185108e-07,9.8953024e-08,7.4040145e-08,7.408671e-07,2.6309863e-08,4.726462e-08,1.2945384e-07,2.2025779e-07,1.4505349e-07,1.10361725e-07,8.218922e-08,5.122274e-09,1.816079e-08,3.3085234e-07,1.5832484e-07,1.3760291e-07,1.6461127e-07,2.689194e-07,3.746245e-07,6.542541e-08,1.0500662e-07,1.6298145e-08
L1381,1.3271347e-07,2.3236498e-07,1.1315569e-07,7.171184e-08,6.984919e-08,2.6961789e-07,5.3551048e-08,1.9696541e-05,1.1228956e-05,4.7273934e-06,6.868504e-07,2.3888424e-07,2.3748726e-06,1.960434e-07,3.73926e-07,3.9720908e-07,2.3795292e-07,3.6042184e-07,1.7494895e-06,7.4040145e-08,7.0314854e-07,1.3587996e-06,2.5425106e-07,5.972432e-05,5.6950375e-07,2.3236498e-07,1.9324943e-07,1.4528632e-07,1.4500692e-06,5.1688403e-08,9.2666596e-08,2.5425106e-07,4.3213367e-07,2.8451905e-07,2.1606684e-07,1.611188e-07,8.8475645e-09,3.632158e-08,6.4773485e-07,3.1059608e-07,2.6961789e-07,3.2177195e-07,5.257316e-07,7.3295087e-07,1.2759119e-07,2.0489097e-07,3.213063e-08
L1382,1.3550743e-07,2.3655593e-07,1.1455268e-07,7.21775e-08,7.171184e-08,2.7520582e-07,5.448237e-08,1.9172207e-05,1.2141187e-05,4.9942173e-06,6.9336966e-07,2.416782e-07,2.42237e-06,1.9976869e-07,3.8230792e-07,4.0605664e-07,2.4260953e-07,3.6833808e-07,1.7834827e-06,7.543713e-08,7.171184e-07,1.385808e-06,2.5937334e-07,5.9952494e-05,5.8161095e-07,2.3748726e-07,1.9744039e-07,1.4761463e-07,1.4789402e-06,5.2154064e-08,9.406358e-08,2.5937334e-07,4.4004992e-07,2.8917566e-07,2.2025779e-07,1.648441e-07,9.313226e-09,3.678724e-08,6.6077337e-07,3.1664968e-07,2.7474016e-07,3.2782555e-07,5.355105e-07,7.469207e-07,1.3131648e-07,2.1001324e-07,3.306195e-08
L1387,1.13621354e-07,1.9837171e-07,9.639189e-08,6.053597e-08,6.053597e-08,2.3050234e-07,4.5169145e-08,0.00059452513,0.00034541404,7.616985e-05,3.2654498e-06,1.4689285e-06,1.6249251e-06,1.3434328e-07,2.5588088e-07,2.7217902e-07,1.6298145e-07,2.470333e-07,1.1962838e-06,5.075708e-08,4.807953e-07,9.2969276e-07,1.7369166e-07,0.0005113981,4.3725595e-07,1.7834827e-07,1.4854595e-07,1.1129305e-07,1.1138618e-06,4.004687e-08,7.124618e-08,1.9511208e-07,3.3108518e-07,2.1792948e-07,1.6624108e-07,1.2433156e-07,6.9849193e-09,2.7939677e-08,4.9732625e-07,2.3795292e-07,2.0768493e-07,2.4586916e-07,4.0326267e-07,5.629845e-07,9.825453e-08,1.5785918e-07,2.4680048e-08
L1398,1.9732397e-08,3.463356e-08,1.6763806e-08,1.0535587e-08,1.0477379e-08,4.0221494e-08,7.916242e-09,4.085945e-06,7.008144e-06,2.0497246e-06,5.302718e-08,1.2805685e-08,3.5989797e-07,2.9744115e-08,5.675247e-08,6.024493e-08,3.6205165e-08,5.4831617e-08,2.650777e-07,1.1234079e-08,1.06403604e-07,2.0617153e-07,3.8708095e-08,1.6568811e-06,8.568168e-08,3.480818e-08,2.910383e-08,2.2002496e-08,2.1781307e-07,7.799827e-09,1.3853423e-08,3.8126018e-08,6.472692e-08,4.2666215e-08,3.2538082e-08,2.4272595e-08,1.3969839e-09,5.4133125e-09,9.7439624e-08,4.656613e-08,4.0628947e-08,4.8428774e-08,7.916242e-08,1.1024531e-07,1.9266736e-08,3.0966476e-08,4.773028e-09
L1399,9.662472e-09,1.6647391e-08,8.090865e-09,5.122274e-09,5.180482e-09,1.9441359e-08,3.7252903e-09,1.9720173e-06,3.3813994e-06,9.884825e-07,2.5436748e-08,6.1118044e-09,1.7340062e-07,1.4319085e-08,2.7241185e-08,2.8929207e-08,1.7229468e-08,2.6309863e-08,1.276494e-07,5.4133125e-09,5.1397365e-08,9.906944e-08,1.8510036e-08,7.986091e-07,4.132744e-08,1.6822014e-08,1.3911631e-08,1.0419171e-08,1.0494841e-07,3.7252903e-09,6.868504e-09,1.8335413e-08,3.1199306e-08,2.0605512e-08,1.5774276e-08,1.1816155e-08,6.4028427e-10,2.6775524e-09,4.679896e-08,2.2468157e-08,1.9441359e-08,2.3050234e-08,3.7893187e-08,5.2852556e-08,9.371433e-09,1.4784746e-08,2.386514e-09
L1402,3.783498e-10,4.8748916e-10,2.3283064e-10,1.6007107e-10,2.5102054e-10,6.039045e-10,1.4915713e-10,5.7174475e-08,9.6773874e-08,2.6986527e-08,5.16593e-10,8.367351e-11,5.0822564e-09,3.601599e-10,7.8216544e-10,8.440111e-10,4.3291948e-10,7.166818e-10,3.6743586e-09,1.891749e-10,1.3169483e-09,2.7066562e-09,2.4374458e-10,2.1100277e-08,1.2842065e-09,5.857146e-10,3.8562575e-10,2.5465852e-11,3.1905074e-09,1.2732926e-10,6.511982e-10,1.7462298e-10,9.1677066e-10,6.548362e-10,1.7826096e-10,9.094947e-11,3.274181e-11,1.382432e-10,8.8766683e-10,5.857146e-10,5.9299055e-10,2.1827873e-11,8.949428e-10,1.7389539e-09,5.0931703e-11,2.1827873e-11,2.0372681e-10
L1411,3.213063e-08,5.62286e-08,2.712477e-08,1.6996637e-08,1.7113052e-08,6.5541826e-08,1.3154931e-08,6.641494e-06,1.1391239e-05,3.3314573e-06,8.626375e-08,2.0489097e-08,5.8463775e-07,4.8195943e-08,9.231735e-08,9.7905286e-08,5.844049e-08,8.8708475e-08,4.3062028e-07,1.8044375e-08,1.7310958e-07,3.3457763e-07,6.274786e-08,2.6926864e-06,1.3888348e-07,5.6577846e-08,4.7381036e-08,3.5506673e-08,3.54019e-07,1.2572855e-08,2.2468157e-08,6.216578e-08,1.05355866e-07,6.926712e-08,5.2619725e-08,3.934838e-08,2.0954758e-09,8.96398e-09,1.5832484e-07,7.5786375e-08,6.577466e-08,7.858034e-08,1.284061e-07,1.7904676e-07,3.1199306e-08,5.005859e-08,7.916242e-09
L1415,4.02797e-08,7.0314854e-08,3.3993274e-08,2.142042e-08,2.142042e-08,8.218922e-08,1.6298145e-08,8.332776e-06,1.4292076e-05,4.1797757e-06,1.0803342e-07,2.6077032e-08,7.338822e-07,6.07688e-08,1.15484e-07,1.2270175e-07,7.357448e-08,1.1152588e-07,5.403999e-07,2.2584572e-08,2.1699816e-07,4.1979365e-07,7.846393e-08,3.3786055e-06,1.7439015e-07,7.124618e-08,5.9371814e-08,4.4470653e-08,4.4400804e-07,1.5599653e-08,2.8172508e-08,7.7765435e-08,1.3201497e-07,8.684583e-08,6.589107e-08,4.9127266e-08,3.0267984e-09,1.094304e-08,1.9860454e-07,9.522773e-08,8.242205e-08,9.872019e-08,1.611188e-07,2.2444874e-07,3.934838e-08,6.2864274e-08,1.0011718e-08
L1511,8.921605e-06,0.00012095668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L1526,3.9402395e-05,0.00012881216,0.00078624487,0.0001406502,0.00035459362,9.716302e-05,0.00020146463,1.5744008e-05,6.1844476e-05,0.00010304991,9.72813e-05,0.00016839895,0.0015829001,4.08832e-05,0.0005860664,0.00017967075,0.00020788983,0.00027223956,0.00031453557,7.024594e-05,0.00069138035,0.00078633055,8.760765e-05,2.0606443e-05,7.1669e-05,9.821728e-05,8.052681e-05,0.0004852889,0.00077192206,8.690078e-05,0.0015116883,0.00011710916,0.00020833407,0.0006505195,2.100505e-05,4.882086e-05,4.5669265e-05,3.2923184e-05,0.0003482094,0.00026922952,0.00014508981,0.00014096778,0.00029678643,0.00020361599,7.0041046e-05,5.5711716e-05,1.7729588e-05
L1527,2.569193e-05,6.254017e-05,0.00042857789,3.144564e-05,0.00018017879,4.9790833e-05,0.000103574246,2.1252781e-06,3.2054726e-05,5.2568503e-05,5.4240692e-05,8.8648405e-05,0.0007986007,2.7991831e-05,0.0003024661,7.433677e-05,0.00011833059,0.00013375003,0.00011398783,2.774829e-05,0.00033847336,0.00040703453,4.87878e-05,8.722302e-06,3.5371166e-05,5.397899e-05,4.2736996e-05,0.00025163032,0.0003993283,5.2194577e-05,0.0018700259,6.4238906e-05,0.000131201,0.00078227,1.6554259e-05,2.354011e-05,2.2155233e-05,2.0185485e-05,0.00022356678,0.00017224438,9.6806325e-05,8.924026e-05,0.00018500723,0.00013781805,5.0198287e-05,3.3006072e-05,1.144968e-05
L1557,1.4403835e-05,6.857561e-05,1.5140045e-05,8.4983185e-08,2.4987152e-05,4.24264e-06,9.880867e-06,1.4358433e-05,9.625219e-07,3.340887e-06,2.495572e-05,1.7238315e-05,1.6146107e-05,2.8600916e-06,1.19342e-05,2.123136e-05,2.4973415e-06,1.271395e-05,9.732787e-06,4.651025e-06,1.9895379e-05,2.0056264e-05,6.2645413e-06,6.684335e-05,7.424969e-07,1.7941697e-05,1.138309e-06,1.1264347e-06,8.009374e-06,1.039519e-05,5.719019e-06,6.214017e-06,1.2951437e-05,1.3867859e-05,8.545117e-06,1.33609865e-05,8.618692e-06,2.0857435e-05,6.1546452e-06,6.9884118e-06,2.9001152e-05,2.0412263e-06,2.557179e-06,4.828209e-06,7.9604797e-07,7.280614e-07,1.8547289e-06
L1558,1.0598917e-05,6.866024e-05,1.1933036e-05,2.902234e-07,1.8202118e-05,2.8115464e-06,8.640694e-06,1.1803233e-05,1.0272488e-06,2.3813918e-06,2.5060726e-05,1.6211648e-05,1.0258751e-05,1.7299317e-06,7.1250834e-06,1.8914929e-05,6.64033e-07,9.052223e-06,9.510666e-06,3.5790727e-06,1.646229e-05,1.3199286e-05,4.9169175e-06,6.541691e-05,2.1781307e-07,1.4858786e-05,8.35862e-07,3.1816307e-06,5.8646547e-06,7.5652497e-06,5.9924787e-06,4.876405e-06,1.0383665e-05,1.2428034e-05,7.2479015e-06,1.0463991e-05,6.2129693e-06,2.0797946e-05,2.9341318e-06,4.632864e-06,2.7583446e-05,7.349299e-07,1.7057173e-06,4.0463638e-06,1.8473947e-06,7.0093665e-07,1.3675308e-06
L1568,3.0147843e-05,8.313451e-05,3.1459145e-05,3.1112693e-05,7.5660646e-06,2.0038337e-05,1.8686987e-05,1.8166378e-05,4.331395e-05,6.0020015e-05,2.3861416e-05,3.5861507e-05,2.4966896e-05,7.152837e-05,0.00012696348,0.00020395499,5.025696e-05,6.7540444e-05,0.0013724882,5.699694e-05,7.123407e-05,0.000460024,2.6267953e-05,6.1420724e-06,1.1026859e-05,5.9274025e-05,4.778523e-05,3.6600046e-05,0.0001251772,2.3291446e-05,3.8917176e-05,5.2683055e-05,9.570178e-05,4.7633424e-05,6.784964e-05,7.737428e-06,2.2822991e-05,4.0888786e-05,0.00013045222,3.284309e-05,6.20177e-05,4.462432e-05,0.00011746399,0.00015447754,1.5685335e-05,7.1970746e-05,8.494593e-06
L1569,3.5347417e-05,9.76501e-05,3.6817044e-05,3.6622398e-05,8.808449e-06,2.3324043e-05,2.2480264e-05,2.0811334e-05,5.0642528e-05,7.0428476e-05,2.7534552e-05,4.1878782e-05,2.8129667e-05,8.40798e-05,0.0001493264,0.0002382528,5.689636e-05,7.953402e-05,0.0016419347,1.6792677e-05,0.000108221546,0.00054452475,4.4725835e-05,7.260591e-06,1.4725141e-05,6.9610775e-05,5.601719e-05,4.2417087e-05,0.00014601462,2.8118491e-05,4.5740977e-05,6.1948784e-05,0.00011261832,5.5948272e-05,7.931981e-05,9.740703e-06,2.591312e-05,4.8027374e-05,0.00015236437,3.9000064e-05,7.2540715e-05,5.2465126e-05,0.00013708789,0.00017986726,1.8207356e-05,8.370727e-05,9.945594e-06
L1574,1.8852763e-05,7.123733e-05,0.00038109347,0.00011030305,0.00016549416,4.929304e-05,9.2334114e-05,1.1972152e-05,3.3130404e-05,5.449215e-05,4.0988903e-05,8.131936e-05,0.00077342987,7.1218237e-06,0.00029285252,0.0001126593,9.4643794e-05,0.00013091648,0.000186841,4.4007786e-05,0.00033643143,0.00037410902,4.2912085e-05,1.2306031e-05,3.8210303e-05,4.854519e-05,4.0306244e-05,0.00023208791,0.0003782031,3.7883874e-05,0.00035381597,5.6557823e-05,8.461019e-05,0.00012543239,8.970033e-06,2.2660475e-05,2.271356e-05,1.00559555e-05,0.00013491744,0.000100679696,5.3132884e-05,5.481392e-05,0.00011847215,7.6786615e-05,2.1273736e-05,1.7538201e-05,6.848015e-06
L1592,3.0557625e-05,8.5057225e-05,3.258325e-05,3.166264e-05,7.1302056e-06,2.0589214e-05,1.8603168e-05,1.9233674e-05,4.4416636e-05,6.144866e-05,2.461439e-05,3.6735553e-05,2.7025584e-05,7.318007e-05,0.00012869015,0.00020906236,5.3305645e-05,6.83628e-05,0.0013622064,5.5618584e-05,7.2441995e-05,0.00045721233,2.6416965e-05,6.196089e-06,1.1497177e-05,5.941931e-05,4.813634e-05,3.7521124e-05,0.00012640934,2.2426248e-05,3.9044768e-05,5.2775256e-05,9.5750205e-05,4.775077e-05,6.832834e-05,6.8908557e-06,2.3960136e-05,4.119333e-05,0.0001312755,3.228057e-05,6.2366016e-05,4.4917688e-05,0.00011878833,0.00015655532,1.5894882e-05,7.298961e-05,8.544885e-06
L1636,3.956305e-05,2.6889145e-05,1.9929372e-05,3.9576553e-06,5.5274926e-05,1.334073e-05,2.0801555e-05,3.3652876e-05,7.7532604e-07,4.916452e-06,0.0001263963,6.46105e-05,3.7360005e-05,2.6700553e-05,4.875008e-06,6.986316e-05,2.712477e-05,2.569193e-05,3.078999e-05,2.6170164e-07,3.4681056e-05,2.7937349e-05,2.2260472e-05,0.0014973017,5.4615084e-05,9.1437716e-05,8.248724e-06,2.61534e-05,6.2973704e-05,4.8145186e-05,2.1687243e-05,3.311783e-05,5.9979502e-05,3.1967647e-06,3.2403972e-05,5.2646734e-05,3.6323443e-05,0.001039912,6.674044e-05,4.5478344e-05,0.0007696138,0.00010683248,1.8496998e-05,1.6793143e-05,2.673408e-05,4.1467138e-06,7.81985e-06
L1883,9.689014e-06,1.033349e-05,1.2698118e-05,2.5387853e-06,2.0002713e-05,7.636845e-08,1.8159393e-05,3.1106174e-05,9.277137e-06,5.819602e-06,1.6320031e-05,5.2552205e-06,2.1229964e-05,8.021016e-06,1.272466e-05,1.3271114e-05,3.3071265e-05,1.0190532e-05,2.920092e-05,6.7430083e-06,2.6083784e-05,1.5950995e-05,1.6153557e-05,3.4559285e-05,2.218876e-07,1.7080922e-05,7.330673e-06,1.0211952e-05,1.8116552e-05,2.7516391e-05,1.6752165e-06,1.48306135e-05,3.1098025e-05,1.7578248e-05,9.304378e-06,2.2856519e-05,1.9231578e-05,5.504582e-06,2.0543346e-05,2.367096e-05,1.200824e-05,7.3984265e-06,5.988637e-06,1.1530006e-05,4.1907188e-06,2.2472814e-06,1.5993137e-06
L1889,6.3517364e-06,7.1579125e-06,8.971896e-06,1.5334226e-06,1.3348297e-05,6.61239e-08,1.306762e-05,2.2135791e-05,6.6300854e-06,4.2055035e-06,1.1742581e-05,3.8988655e-06,1.2836186e-05,5.363021e-06,9.273179e-06,9.2840055e-06,2.3095869e-05,6.5821223e-06,2.0170002e-05,5.0200615e-06,1.8054154e-05,1.0504969e-05,1.1426397e-05,2.681627e-06,2.1944288e-07,1.2508244e-05,5.4878183e-06,7.2773546e-06,1.3610814e-05,2.0071631e-05,1.4154939e-06,1.1001015e-05,2.2982946e-05,1.28536485e-05,6.84883e-06,1.661235e-05,1.389964e-05,4.227273e-06,1.49295665e-05,1.730898e-05,8.81881e-06,5.787704e-06,4.719943e-06,8.6880755e-06,3.0002557e-06,1.5613623e-06,1.0749791e-06
L2210,1.3166573e-07,2.2829045e-07,1.10827386e-07,7.019844e-08,7.0082024e-08,2.658926e-07,5.0873496e-08,1.6205013e-07,1.6437843e-07,1.405133e-07,2.3748726e-08,1.3178214e-07,2.3051398e-06,1.8987339e-07,3.6275014e-07,3.8580038e-07,2.3015309e-07,3.4994446e-07,1.6969861e-06,7.136259e-08,6.837072e-07,1.3172394e-06,2.4563633e-07,3.639143e-07,0.00021162443,1.762528e-07,1.4598481e-07,1.0919757e-07,1.0997755e-06,3.9115548e-08,7.136259e-08,1.9208528e-07,3.2701064e-07,2.1571759e-07,1.641456e-07,1.2258533e-07,6.7520887e-09,2.7706847e-08,4.8975926e-07,2.348097e-07,2.0477455e-07,2.4132896e-07,3.9697625e-07,5.54719e-07,9.7206794e-08,1.5483238e-07,2.4796464e-08
L2229,3.61033e-08,6.282062e-08,3.0486262e-08,1.9252184e-08,1.922308e-08,7.315248e-08,1.4188117e-08,3.6670826e-08,4.474714e-08,4.238973e-08,6.4756023e-09,3.623427e-08,6.340415e-07,5.2328687e-08,9.98989e-08,1.0617077e-07,6.3475454e-08,9.634823e-08,4.6707282e-07,1.9732397e-08,1.8783612e-07,3.629102e-07,6.785558e-08,6.053597e-08,7.569906e-08,6.124901e-08,5.1004463e-08,3.8315193e-08,3.8277358e-07,1.3576937e-08,2.4505425e-08,6.701157e-08,1.1391239e-07,7.504423e-08,5.707261e-08,4.2593456e-08,2.415618e-09,9.5315045e-09,1.709559e-07,8.191273e-08,7.124618e-08,8.472125e-08,1.3867975e-07,1.9349682e-07,3.3833203e-08,5.4220436e-08,8.556526e-09
